Time,FAM/FAM T (+),TYE/TYE T (-),CY5/CY5 T (m)
5.316666667,0.005859975,-0.001610081,-0.004249894
5.333333333,0.006204057,-0.001648162,-0.004555895
5.35,0.005457906,-0.001359078,-0.004098828
5.366666667,0.004706876,-0.001067354,-0.003639522
5.383333333,0.003957048,-0.000776436,-0.003180612
5.4,0.004108137,-0.001231376,-0.002876761
5.416666667,0.004257856,-0.001682774,-0.002575083
5.433333333,0.004409139,-0.002137236,-0.002271903
5.45,0.004278905,-0.001681582,-0.002597322
5.466666667,0.004149329,-0.001231418,-0.002917911
5.483333333,0.004019488,-0.000775592,-0.003243896
5.5,0.003930539,-0.000836294,-0.003094245
5.516666667,0.003840465,-0.000896734,-0.002943732
5.533333333,0.003751156,-0.000957572,-0.002793584
5.55,0.004038308,-0.001106431,-0.002931877
5.566666667,0.004325257,-0.00125747,-0.003067786
5.583333333,0.004612149,-0.001406751,-0.003205399
5.6,0.004762741,-0.001406913,-0.003355827
5.616666667,0.004913436,-0.001412748,-0.003500688
5.633333333,0.005064336,-0.001412734,-0.003651602
5.65,0.004612497,-0.00112608,-0.003486418
5.666666667,0.004157986,-0.000838086,-0.0033199
5.683333333,0.003705961,-0.000551452,-0.003154509
5.7,0.004242348,-0.001156975,-0.003085373
5.716666667,0.004778583,-0.001762081,-0.003016502
5.733333333,0.005314889,-0.002367732,-0.002947156
5.75,0.005487528,-0.002089605,-0.003397924
5.766666667,0.005665219,-0.001810532,-0.003854687
5.783333333,0.005841367,-0.001529092,-0.004312275
5.8,0.005507454,-0.001277887,-0.004229566
5.816666667,0.005177242,-0.001026341,-0.004150902
5.833333333,0.004843382,-0.000775868,-0.004067514
5.85,0.005247979,-0.000954719,-0.00429326
5.866666667,0.005652814,-0.001133631,-0.004519183
5.883333333,0.006057502,-0.001312989,-0.004744513
5.9,0.005763474,-0.001475158,-0.004288316
5.916666667,0.005471336,-0.001638135,-0.003833202
5.933333333,0.005176732,-0.001800805,-0.003375927
5.95,0.005165572,-0.001746037,-0.003419535
5.966666667,0.0051547,-0.001691861,-0.003462839
5.983333333,0.005142145,-0.001637868,-0.003504276
6,0.005296031,-0.001717537,-0.003578495
6.016666667,0.005447147,-0.001793445,-0.003653702
6.033333333,0.005600922,-0.001873448,-0.003727474
6.05,0.005609247,-0.001686678,-0.003922569
6.066666667,0.005619434,-0.001498467,-0.004120967
6.083333333,0.005628066,-0.001311043,-0.004317023
6.1,0.005336244,-0.001313004,-0.00402324
6.116666667,0.005044609,-0.001319265,-0.003725344
6.133333333,0.00475244,-0.001320664,-0.003431776
6.15,0.005042683,-0.001117118,-0.003925565
6.166666667,0.005331352,-0.000911724,-0.004419628
6.183333333,0.005623014,-0.000707088,-0.004915926
6.2,0.005688734,-0.001147632,-0.004541102
6.216666667,0.005754756,-0.001587814,-0.004166942
6.233333333,0.005821303,-0.002028599,-0.003792704
6.25,0.005706,-0.001998744,-0.003707255
6.266666667,0.005590499,-0.001973873,-0.003616626
6.283333333,0.005475761,-0.001944492,-0.003531269
6.3,0.005065598,-0.002005034,-0.003060564
6.316666667,0.004652009,-0.002064937,-0.002587072
6.333333333,0.004239664,-0.002125155,-0.002114509
6.35,0.004609915,-0.001756249,-0.002853666
6.366666667,0.004978296,-0.001384337,-0.003593959
6.383333333,0.005347871,-0.001014384,-0.004333488
6.4,0.005468384,-0.001323082,-0.004145303
6.416666667,0.005585571,-0.001627058,-0.003958513
6.433333333,0.005705697,-0.001935763,-0.003769935
6.45,0.006107391,-0.001934544,-0.004172847
6.466666667,0.006505279,-0.001931178,-0.004574101
6.483333333,0.006906787,-0.001929696,-0.004977091
6.5,0.00608768,-0.001911013,-0.004176667
6.516666667,0.005269038,-0.001890472,-0.003378566
6.533333333,0.004446897,-0.00187151,-0.002575387
6.55,0.00480688,-0.001863545,-0.002943335
6.566666667,0.005165994,-0.001855189,-0.003310805
6.583333333,0.005525487,-0.001847067,-0.003678419
6.6,0.005555378,-0.001928529,-0.003626849
6.616666667,0.00558111,-0.002007922,-0.003573188
6.633333333,0.005610863,-0.002089051,-0.003521812
6.65,0.005774931,-0.002036941,-0.00373799
6.666666667,0.005937229,-0.001987194,-0.003950036
6.683333333,0.006101431,-0.001935616,-0.004165815
6.7,0.006124446,-0.001848538,-0.004275907
6.716666667,0.006147548,-0.001765354,-0.004382194
6.733333333,0.006168894,-0.001678807,-0.004490087
6.75,0.005911447,-0.001781309,-0.004130138
6.766666667,0.005652349,-0.001877508,-0.003774841
6.783333333,0.005393655,-0.001979369,-0.003414286
6.8,0.005569767,-0.002230681,-0.003339086
6.816666667,0.005747141,-0.002479317,-0.003267824
6.833333333,0.005923064,-0.002730245,-0.003192819
6.85,0.00624652,-0.00277296,-0.003473561
6.866666667,0.006569832,-0.002820587,-0.003749245
6.883333333,0.006893118,-0.002863119,-0.004029999
6.9,0.006721211,-0.002688437,-0.004032774
6.916666667,0.006549746,-0.002513608,-0.004036138
6.933333333,0.006378456,-0.002338766,-0.00403969
6.95,0.006477397,-0.002109007,-0.00436839
6.966666667,0.006574726,-0.001875731,-0.004698995
6.983333333,0.006674045,-0.001645622,-0.005028423
7,0.006641308,-0.001902515,-0.004738793
7.016666667,0.006605614,-0.002158194,-0.004447421
7.033333333,0.006572897,-0.002414747,-0.00415815
7.05,0.006116705,-0.002192458,-0.003924247
7.066666667,0.005664052,-0.001971776,-0.003692277
7.083333333,0.005207041,-0.001749086,-0.003457955
7.1,0.006196427,-0.002135657,-0.00406077
7.116666667,0.007181012,-0.00252021,-0.004660802
7.133333333,0.008165143,-0.002904039,-0.005261104
7.15,0.007729628,-0.002406932,-0.005322696
7.166666667,0.007295533,-0.001911261,-0.005384271
7.183333333,0.006858608,-0.001414051,-0.005444556
7.2,0.006531128,-0.001771994,-0.004759134
7.216666667,0.006203152,-0.002130733,-0.004072419
